date,source,mean_sst,site
2000-06-27,ESACCI,21.1570986867441,OL
2000-06-27,METOFFICE,NA,OL
2000-06-28,ESACCI,20.8757829035583,OL
2000-06-28,METOFFICE,NA,OL
2000-06-29,ESACCI,20.7363092224653,OL
2000-06-29,METOFFICE,NA,OL
2000-06-30,ESACCI,20.6418355403665,OL
2000-06-30,METOFFICE,NA,OL
2000-07-01,ESACCI,20.5586776474883,OL
2000-07-01,METOFFICE,NA,OL
2000-07-02,ESACCI,20.4936776489412,OL
2000-07-02,METOFFICE,NA,OL
2000-07-03,ESACCI,20.4236776505058,OL
2000-07-03,METOFFICE,NA,OL
2000-07-04,ESACCI,20.3684144938463,OL
2000-07-04,METOFFICE,NA,OL
2000-07-05,ESACCI,20.2915723903007,OL
2000-07-05,METOFFICE,NA,OL
2000-07-06,ESACCI,20.2323618653083,OL
2000-07-06,METOFFICE,NA,OL
2000-07-07,ESACCI,20.0231513436688,OL
2000-07-07,METOFFICE,NA,OL
2000-07-08,ESACCI,19.9089408199058,OL
2000-07-08,METOFFICE,NA,OL
2000-07-09,ESACCI,19.7897302962546,OL
2000-07-09,METOFFICE,NA,OL
2000-07-10,ESACCI,19.5934145111689,OL
2000-07-10,METOFFICE,NA,OL
2000-07-11,ESACCI,19.5697303011719,OL
2000-07-11,METOFFICE,NA,OL
2000-07-12,ESACCI,19.5639408276172,OL
2000-07-12,METOFFICE,NA,OL
2000-07-13,ESACCI,20.7457829064641,OL
2000-07-13,METOFFICE,NA,OL
2000-07-14,ESACCI,20.7810460635706,OL
2000-07-14,METOFFICE,NA,OL
2000-07-15,ESACCI,20.8934144821116,OL
2000-07-15,METOFFICE,NA,OL
2000-07-16,ESACCI,20.6028881728159,OL
2000-07-16,METOFFICE,NA,OL
2000-07-17,ESACCI,20.4660460706114,OL
2000-07-17,METOFFICE,NA,OL
2000-07-18,ESACCI,20.3763092305119,OL
2000-07-18,METOFFICE,NA,OL
2000-07-19,ESACCI,21.0470986892028,OL
2000-07-19,METOFFICE,NA,OL
2000-07-20,ESACCI,21.4163092072661,OL
2000-07-20,METOFFICE,NA,OL
2000-07-21,ESACCI,21.367624997828,OL
2000-07-21,METOFFICE,NA,OL
2000-07-22,ESACCI,21.9252565643113,OL
2000-07-22,METOFFICE,NA,OL
2000-07-23,ESACCI,22.0628881401824,OL
2000-07-23,METOFFICE,NA,OL
2000-07-24,ESACCI,21.9657828791949,OL
2000-07-24,METOFFICE,NA,OL
2000-07-25,ESACCI,21.688414464342,OL
2000-07-25,METOFFICE,NA,OL
2000-07-26,ESACCI,21.46367762726,OL
2000-07-26,METOFFICE,NA,OL
2000-07-27,ESACCI,21.479993416369,OL
2000-07-27,METOFFICE,NA,OL
2000-07-28,ESACCI,21.1192039507491,OL
2000-07-28,METOFFICE,NA,OL
2000-07-29,ESACCI,20.9757829013232,OL
2000-07-29,METOFFICE,NA,OL
2000-07-30,ESACCI,21.0036776375418,OL
2000-07-30,METOFFICE,NA,OL
2000-07-31,ESACCI,21.1018355300847,OL
2000-07-31,METOFFICE,NA,OL
